Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",2053.966947,2049.113072,2017.253282,1989.756044,1979.553236,2094.279263,2224.558946,2275.401316,2343.416203,2348.930354,2291.441153,2289.125956,2236.329086,2199.900958,2239.75497,2300.122232,2354.291344,2406.778943,2460.247093,2501.728522,2522.36493,2404.04228,2626.068383,2828.401341,3127.479168,4652.890621,4726.983121,4830.751701,5147.587091,5455.360012
Cameroon,CMR,"GDP per capita, PPP (current international $)",1855.409069,1790.706364,1723.39807,1578.255035,1600.544875,1644.929594,1701.699581,1774.151981,1826.595182,1882.777095,1941.697129,2017.011365,2079.760209,2156.691396,2302.116143,2357.048117,2444.753943,2562.263539,2629.886965,2634.677417,2681.886817,2773.896667,2855.446156,3002.610781,3185.355149,3260.524969,3405.057589,3554.525156,3688.581534,3804.071711
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",882.7730891,805.6037097,709.285661,604.3059913,571.962353,569.3272988,557.9703626,522.6319546,508.0735765,481.9072515,447.0821984,435.0763341,441.8203085,460.7701526,489.4199936,518.8402392,545.1514742,575.7491156,603.2879075,604.8441541,633.9131237,668.940861,669.567462,753.4851364,849.7607955,905.4504568,963.6693089,1059.810775,1111.517447,1143.453225
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",3231.385037,3328.091181,3397.950779,3350.299252,3144.843549,3246.024302,3350.421811,3290.667002,3353.407974,3219.326243,3439.906388,3546.384186,3662.31892,3654.110706,3768.414492,4057.368145,4295.730265,4194.633716,4362.164753,4571.12511,4878.074711,5008.388803,4897.749802,4761.545672,4700.528126,3338.900972,3397.563518,3448.537208,3494.985739,3434.755675
Colombia,COL,"GDP per capita, PPP (current international $)",5012.220433,5182.768569,5408.870525,5724.016222,6070.674483,6401.813731,6535.529513,6758.271111,6758.525404,6460.906329,6690.373244,6843.737167,7018.082533,7319.543742,7806.050138,8324.756249,9035.566476,9781.969509,10179.24415,10258.97084,10731.64568,11604.01283,12018.35732,12727.27906,13306.99867,13265.79726,13952.13615,14316.48581,14965.89536,15643.73145
Comoros,COM,"GDP per capita, PPP (current international $)",1587.427922,1507.590492,1625.269655,1664.865215,1565.383394,1610.215915,1574.686887,1622.157268,1618.152642,1630.51245,1801.767456,1838.378606,1865.27044,1894.206453,1936.013281,2004.634313,2069.886352,2091.755023,2165.068837,2197.805399,2252.890772,2337.057388,2511.485162,2636.49431,2716.827525,2709.600878,2863.870042,3032.254682,3139.205772,3209.091291
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",1063.563307,1088.305239,1201.785602,1299.777096,1538.666047,1748.308056,1935.97062,2141.080361,2387.448376,2642.86522,3032.126368,3113.103817,3273.979655,3420.162625,3813.705901,4146.084861,4552.239123,5316.933324,5711.323428,5613.700418,5692.433557,5966.871922,5818.972162,5792.829274,5748.173874,5994.372832,6322.841809,6643.204611,7026.120161,7469.075579
Costa Rica,CRI,"GDP per capita, PPP (current international $)",5057.537866,5209.015582,5668.227573,6055.72455,6300.890201,6534.353733,6575.337982,6896.548724,7293.122225,7528.773961,7836.927285,8141.051763,8402.798411,8787.790371,9279.559826,9799.04396,10677.01305,11699.90395,12318.46342,12135.24979,12725.15233,13387.57215,14091.52889,14651.15236,15622.93048,16586.35303,18008.59989,19112.40889,19873.13955,20434.40843
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",6033.241456,6317.431917,6602.381765,6911.323418,7187.567705,7482.539999,7817.021205,8144.295858,8414.378196,8825.987822,9300.646147,9647.577267,10113.60514,10901.87268,11601.90178,12323.23306,13534.02954,14283.92453,14692.58383,14180.77306,14461.64933,14824.1738,14778.90619,15021.5393,15138.1976,14836.10367,14785.42175,15238.58418,15727.03591,16050.53382
Cuba,CUB,"GDP per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
